,recommendationid,language,review,timestamp_created,timestamp_updated,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access,author.steamid,author.num_games_owned,author.num_reviews,author.playtime_forever,author.playtime_last_two_weeks,author.playtime_at_review,author.last_played
0,77186359,english,"good game, maybe should bring back bots like in RO2 but mechanics and gameplay are great",1602087930,1602087930,True,0,0,0,0,True,False,False,76561198273489805,23,1,1291,70,1269,1602089156
1,77180674,english,"Games like this are the reason people are playing more single player games. We cant make a good anti-cheat engine that actually stops cheating? Really? Between the spawn camping, the absolute WORST community, and rampant cheating, and getting shot in the head over and over again from 300 yrds the second you spawn is not fun. Nothing about this game is fun.",1602080830,1602080830,False,0,0,0,0,True,False,False,76561198022648821,391,45,3324,17,3324,1602080598
2,77164901,english,"Ptsd.  Crazy fear of trees now. cannot leave home.  

Best large scale fps ive ever played.",1602054853,1602054853,True,0,1,0,0,True,False,False,76561198152230178,118,5,8143,300,8083,1602059415
3,77162021,english,"fun, semi-realistic, a little janky",1602048762,1602048762,True,0,0,0,0,True,False,False,76561198073913404,33,18,1565,24,1565,1602048710
4,77160848,english,yes,1602046290,1602046290,True,0,0,0,0,True,False,False,76561198078893490,84,1,2771,468,2765,1602079151
5,77159777,english,"""Please describe what you disliked about this product.""  

Hit detection, accuracy is bull  crap, spray n pray to win, unless you have a scope.",1602044127,1602044127,False,0,0,0.476190477609634399,0,True,False,False,76561199057575710,18,1,300,45,300,1602043967
6,77159735,english,"great great great great game
",1602044044,1602044044,True,0,0,0,0,True,False,False,76561198203351212,45,1,2804,1343,2768,1602046190
7,77159357,english,"great game very fun, dont be sweaty",1602043299,1602043299,True,0,0,0,0,True,False,False,76561198817987792,26,3,2752,140,2752,1601690333
8,77159198,english,It's pretty fun,1602042978,1602042978,True,0,0,0,0,True,False,False,76561198020518445,238,3,177124,2738,177124,1602039193
9,77158386,english,"Its a great game, amazing gameplay, good weapon physics, it takes a bit to learn to fly helicopters, but you'll get the hang of it.",1602041395,1602041395,True,0,0,0,0,True,False,False,76561198106474742,53,26,232,0,232,1582158682
10,77156534,english,It's all fun and games until someone is blasting Hanoi Hannah in the proximity chat and you are all alone. 10/10 will die again,1602037765,1602037765,True,0,0,0,0,True,False,False,76561199088667648,12,1,331,318,248,1602042787
11,77146220,english,"You're going to die. Mr. Ricehat with the Ak-47 does not care about your goddamn feelings ,and Mrs. RPG-7 doesn't give a fuck about your fucking cover or your fancy ass Huey. And when your teammates run in front of your M16 going off on some shit eating Charlies and if they get butthurt and try to game kick/end your ass ,fucking do it again. You are going to die by napalm, you are going to witness your entire fucking team get wiped out by Napalm. Why you might ask Mr. GI well the answer is simple YOUR COMMANDER IS A DUMBASS.",1602018608,1602032899,True,0,0,0,0,True,False,False,76561198307321340,61,19,706,37,706,1601704214
12,77149668,english,Its a good game.,1602024642,1602024642,True,0,0,0,0,True,False,False,76561198157406700,46,8,1101,505,1101,1601851042
13,77148962,english,"Do you want to under the phrase 'War is Hell?'

Are you ok being a statistic?

Are you John Rambo?
",1602023279,1602023279,True,0,0,0,0,True,False,False,76561198165757421,44,1,6108,237,6025,1602029456
14,77148700,english,"Like every other Tripwire game , rising storm vietnam had alot of potensial, the game was unique set in mid 60s to early 70s
and you fight in famous battles in either north vietnam side or the south
but devs just left the game in a very bad state, it has alot of problems like massive fps drops,bugs, and alot of cheaters and glitch users.
it couldve been one of the most unique fps game out in the market but these days even servers try to hack your account when you wanna join
avoid this game for your own safety there is nothing else left to have fun with in rising storm vietnam.RIP",1602022772,1602022772,False,2,0,0.513274312019348145,0,True,False,False,76561198142255799,123,15,20997,0,20997,1597405564
15,77145602,english,i was only 19 :(,1602017713,1602017713,True,0,0,0,0,True,False,False,76561198181144482,39,10,4452,805,4283,1602042164
16,77138351,english,funn,1602007351,1602007351,True,0,0,0,0,True,False,False,76561199081587221,4,2,690,97,641,1602010305
17,60778126,english,"get shot
repeat
fun",1577563224,1602004388,True,0,0,0,0,True,False,False,76561198111318775,125,38,2631,0,2631,1597020599
18,70963537,english,BROKEN ARROW BROKEN ARROW,1592451839,1602002519,True,0,0,0,0,True,False,False,76561198388686850,62,2,7013,0,7013,1599884611
19,32154046,english,"BETA game its far from done!!! devs are just to lazy! 

Its the game where the M16 has a higher caliber than the AK-47.

Its the most buggy FPS shooter ive ever played. ... it still has ALL the bugs and animations from RO2 its just all reskinned, and they freakin REMOVED the COVER system?? !!!!  they added choppers (choppers are awesome though) 
RO2 is in my opinion still 10 times better it has more maps and the spawns in that game are much better, in this game you often get spawnkilled in your main spawn it makes a lot of matches unplayable.
the gameplay in general is alright it still has the awesome mechanic from RO2 but they are lazy and don't fix the BUGS and GLITCHES from RO2.
the tunnels are mostly not even placed!! because a lot of people think its Shitfield 1 or something??  the ARTY in this game is to buggy when youre in a house or tunnel you will mostly get killed by ARTY/Napalm/Gunship, the creators did a really bad job on this title. 
in my opinion its one of the worst FPS shooter to date.

The new FLC is quite good!! love the maps and the guns just that the main weapon for the Australian army is bad real bad (L1A1) you have more chance with killing someone with the bayonet than shooting the thing. 

SO DO NOT GET THIS GAME!! (im going back after every update to see if they made progress) they did with the general gameplay the Vietnamese in my experience win more (like they should) they are still loads of bugs. they have updated the m14 and its now actually usefull. but with the AK you still have to shoot over 10 bullets to kill someone. 
Its clear to me that the devs have the worst map desingers, you can clearly see that after the last major update. The maps are just sooo poorly designed no flanking just linear gameplay with death zones for the attackers like the map A Sau (ASS) 

The hit Registration is the worst ive seen in a long time, you often unload your whole mag into someone and still no bullet hit. What i also have noticed lately that some bullets can Pen anything, ive been killed multiple times inside a tunnel from over a 100 metres. 

For some reason the Flamer is debuffed? i have used it an entire match and it has become useless at short range,fire does less damage now apparently.

The maps are really badly designed, the main spawns are often way to open. So when there are choppers in the match youve lost pretty much. 

As of June 1st 2019, they have added a lot of new maps, creator/player ones. Which are the worst ive ever seen in any video game, the vanilla ones are even better. The guns seem to deal, barely no damage just like the grenades they are pretty much useless. The spawns are even worse on the newer maps. 

Only good thing i can say about this game is that the updates are all free, you don't see that anymore.


this game is just a reskinned version of Red Orchestra 2.

If you still want this trash, get in the sale when its around 7 EU.

As of August 24 2019 nothing much has changed, most server now run the Custom maps which most of them are really bad, Battlefield kind of bad.

As of January 13th 2020: Its still a terrible game, all the stuff mentioned above are still there. They did add the feature that you can basecamp the attackers/defenders. That  has completely destroyed all of this game.",1496500843,1601997877,False,0,0,0,0,True,False,False,76561198108467087,149,41,22738,330,22738,1601997713
20,32066827,english,"Rising Storm 2: Vietnam

This game sucks but put on a Veitnam war soundtrack and it a 10/10 masterpiece

I tell ya.",1496164354,1601996844,True,4,1,0.566929101943969727,1,True,False,False,76561198120222781,264,14,569,0,569,1517765652
21,77126261,english,It's free on epic games on 8th october 2020...check it out guys,1601990862,1601990862,True,3,0,0.566929101943969727,0,True,False,False,76561199032017109,5,4,52,52,52,1601567169
22,77125905,english,murcia sux,1601990322,1601990322,True,0,0,0,0,True,False,False,76561198329734987,71,28,20,0,20,1593146429
23,77124995,english,"Great game,Really fun with friends",1601988897,1601988897,True,0,0,0,0,True,False,False,76561198133795905,230,6,2700,267,2432,1602073398
24,77109016,english,"Love the game, but man it can be stressful to play",1601955810,1601955810,True,0,0,0,0,True,False,False,76561198421083637,19,1,2478,1384,2341,1602032258
25,77104467,english,Its chill but its super laggy and wack,1601946561,1601946561,True,0,0,0,0,True,False,False,76561198189580046,40,12,790,132,789,1602004731
26,77094288,english,"I bought the game two weeks ago and now I found out its coming out on Epic Games for free and I cant refund it. but its a good game, waste of money though",1601927700,1601927700,True,1,0,0.523809552192687988,0,True,False,False,76561198967474330,16,9,253,0,253,1600729617
27,59750410,english,you run slow the mechanics all slow and stupid you die more then anything trying to aim or crouch the shooting makes 0 sence you cant get over any fucking obstacle you cant take cover anywhere its just another running simulator and die game im so sick of these pos fps games ALL OF THEM DONT BUY THIS unless u like vietnam n bad gaming mechanics XD,1576217231,1601924521,False,0,0,0,0,True,False,False,76561198067229429,124,9,6659,209,6659,1601924399
28,77085594,english,"""I gotta find bubba""",1601915471,1601915471,True,1,1,0.525862038135528564,0,True,False,False,76561198098998386,72,12,12996,675,12865,1601980951
29,77080060,english,A nice mix of realistic combat without it becoming tedious,1601908016,1601908016,True,0,0,0,0,True,False,False,76561198422451479,81,3,1852,100,1751,1601915472
